word,polarity
ممتاز,positive
ممتازة,positive
رائع,positive
رائعة,positive
جميل,positive
جميلة,positive
لذيذ,positive
لذيذة,positive
طيب,positive
طيبة,positive
حلو,positive
حلوة,positive
نظيف,positive
نظيفة,positive
مريح,positive
مريحة,positive
هادئ,positive
هادئة,positive
سريع,positive
سريعة,positive
ودود,positive
ودودة,positive
محترف,positive
مثالي,positive
جيد,positive
جيدة,positive
عظيم,positive
مدهش,positive
مذهل,positive
لطيف,positive
لطيفة,positive
خرافي,positive
تحفة,positive
يجنن,positive
بيجنن,positive
زاكي,positive
زاكية,positive
طازج,positive
طازجة,positive
راقي,positive
راقية,positive
مميز,positive
مميزة,positive
أنصح,positive
أحلى,positive
أجمل,positive
أفضل,positive
ألذ,positive
روعة,positive
هايل,positive
خيالي,positive
حبيت,positive
عجبني,positive
سيء,negative
سيئة,negative
بشع,negative
بشعة,negative
قذر,negative
قذرة,negative
وسخ,negative
وسخة,negative
بطيء,negative
بطيئة,negative
غالي,negative
غالية,negative
مزدحم,negative
مزدحمة,negative
مزعج,negative
مزعجة,negative
قديم,negative
قديمة,negative
رديء,negative
رديئة,negative
فظيع,negative
فظيعة,negative
مقرف,negative
مقرفة,negative
كريه,negative
كريهة,negative
محبط,negative
مخيب,negative
للأسف,negative
أسوأ,negative
ضعيف,negative
ضعيفة,negative
متسخ,negative
متسخة,negative
وقح,negative
وقحة,negative
غش,negative
احتيال,negative
مغشوش,negative
نصب,negative
خايس,negative
زفت,negative
عاطل,negative
مهين,negative
مقزز,negative
متأخر,negative
مهمل,negative
مهملة,negative
بايخ,negative
بايخة,negative
